"task","task_is","weight","hierarchy_belongs","source"
"Alien","Atari 2600 game",1,"Default","Best Linear"
"Amidar","Atari 2600 game",1,"Default","Best Linear"
"Assault","Atari 2600 game",1,"Default","Best Linear"
"Asterix","Atari 2600 game",1,"Default","Best Linear"
"Asteroids","Atari 2600 game",1,"Default","Best Linear"
"Atlantis","Atari 2600 game",1,"Default","Best Linear"
"Bank Heist","Atari 2600 game",1,"Default","Best Linear"
"Battle Zone","Atari 2600 game",1,"Default","Best Linear"
"Beam Rider","Atari 2600 game",1,"Default","Best Linear"
"Berzerk","Atari 2600 game",1,"Default","Best Linear"
"Bowling","Atari 2600 game",1,"Default","Best Linear"
"Boxing","Atari 2600 game",1,"Default","Best Linear"
"Breakout","Atari 2600 game",1,"Default","Best Linear"
"Centipede","Atari 2600 game",1,"Default","Best Linear"
"Chopper Command","Atari 2600 game",1,"Default","Best Linear"
"Crazy Climber","Atari 2600 game",1,"Default","Best Linear"
"Defender","Atari 2600 game",1,"Default","Best Linear"
"Demon Attack","Atari 2600 game",1,"Default","Best Linear"
"Double Dunk","Atari 2600 game",1,"Default","Best Linear"
"Enduro","Atari 2600 game",1,"Default","Best Linear"
"Fishing Derby","Atari 2600 game",1,"Default","Best Linear"
"Freeway","Atari 2600 game",1,"Default","Best Linear"
"Frostbite","Atari 2600 game",1,"Default","Best Linear"
"Gopher","Atari 2600 game",1,"Default","Best Linear"
"Gravitar","Atari 2600 game",1,"Default","Best Linear"
"HERO","Atari 2600 game",1,"Default","Best Linear"
"Ice Hockey","Atari 2600 game",1,"Default","Best Linear"
"James Bond","Atari 2600 game",1,"Default","Best Linear"
"Kangaroo","Atari 2600 game",1,"Default","Best Linear"
"Krull","Atari 2600 game",1,"Default","Best Linear"
"Kung-Fu Master","Atari 2600 game",1,"Default","Best Linear"
"Montezuma Revenge","Atari 2600 game",1,"Default","Best Linear"
"Ms. Pacman","Atari 2600 game",1,"Default","Best Linear"
"Name This Game","Atari 2600 game",1,"Default","Best Linear"
"Phoenix","Atari 2600 game",1,"Default","Best Linear"
"Pitfall!","Atari 2600 game",1,"Default","Best Linear"
"Pong","Atari 2600 game",1,"Default","Best Linear"
"Private Eye","Atari 2600 game",1,"Default","Best Linear"
"Q*Bert","Atari 2600 game",1,"Default","Best Linear"
"River Raid","Atari 2600 game",1,"Default","Best Linear"
"Road Runner","Atari 2600 game",1,"Default","Best Linear"
"Robotank","Atari 2600 game",1,"Default","Best Linear"
"Seaquest","Atari 2600 game",1,"Default","Best Linear"
"Skiing","Atari 2600 game",1,"Default","Best Linear"
"Solaris","Atari 2600 game",1,"Default","Best Linear"
"Space Invaders","Atari 2600 game",1,"Default","Best Linear"
"Star Gunner","Atari 2600 game",1,"Default","Best Linear"
"Surround","Atari 2600 game",1,"Default","Best Linear"
"Tennis","Atari 2600 game",1,"Default","Best Linear"
"Time Pilot","Atari 2600 game",1,"Default","Best Linear"
"Tutankham","Atari 2600 game",1,"Default","Best Linear"
"Up and Down","Atari 2600 game",1,"Default","Best Linear"
"Venture","Atari 2600 game",1,"Default","Best Linear"
"Video Pinball","Atari 2600 game",1,"Default","Best Linear"
"Wizard of Wor","Atari 2600 game",1,"Default","Best Linear"
"Yars Revenge","Atari 2600 game",1,"Default","Best Linear"
"Zaxxon","Atari 2600 game",1,"Default","Best Linear"
